Date,Open,High,Low,Close,Adj Close,Volume
2021-03-18,108.720001,109.519997,105.519997,106.000000,105.837097,7970138
2021-03-19,105.599998,106.800003,103.839996,105.760002,105.597466,8559000
2021-03-22,105.279999,105.919998,103.440002,105.040001,104.878571,6598638
2021-03-23,103.680000,105.440002,100.400002,101.279999,101.124344,8206888
2021-03-24,102.080002,104.160004,100.000000,100.000000,99.846321,7759188
2021-03-25,99.199997,103.440002,97.839996,102.800003,102.642014,9173988
2021-03-26,103.599998,105.040001,101.680000,103.919998,103.760284,7565588
2021-03-29,103.360001,104.400002,102.239998,103.599998,103.440781,6720363
2021-03-30,103.839996,106.879997,103.199997,106.400002,106.236481,6615638
2021-03-31,107.040001,107.440002,105.040001,105.040001,104.878571,7823250
2021-04-01,105.839996,106.879997,105.199997,106.239998,106.076721,7397975
2021-04-05,107.760002,108.559998,106.959999,107.680000,107.514511,6342363
2021-04-06,107.680000,108.000000,106.959999,107.199997,107.035240,5006525
2021-04-07,107.199997,108.239998,106.080002,107.120003,106.955368,5220675
2021-04-08,106.080002,108.000000,104.720001,107.599998,107.434639,6864875
2021-04-09,108.000000,110.639999,107.360001,108.800003,108.632790,7905750
2021-04-12,108.879997,109.440002,107.760002,108.720001,108.552917,5259625
2021-04-13,108.080002,108.320000,106.080002,107.519997,107.354759,6402975
2021-04-14,107.440002,110.320000,107.360001,109.440002,109.271805,8079875
2021-04-15,109.839996,110.000000,107.519997,108.400002,108.233406,6360225
2021-04-16,109.040001,109.440002,106.800003,107.120003,106.955368,6253050
2021-04-19,106.559998,107.760002,105.360001,107.680000,107.514511,5609475
2021-04-20,107.279999,107.279999,103.199997,104.480003,104.319427,7682088
2021-04-21,103.440002,107.040001,102.160004,106.800003,106.635864,6201013
2021-04-22,106.800003,109.440002,106.239998,107.279999,107.115128,6575975
2021-04-23,108.000000,108.879997,106.879997,108.400002,108.233406,5829763
2021-04-26,109.040001,112.000000,108.400002,108.559998,108.393158,11722363
2021-04-27,108.000000,108.320000,103.279999,107.919998,107.754143,18721875
2021-04-28,106.639999,106.800003,105.199997,105.599998,105.437706,8261925
2021-04-29,105.440002,106.320000,104.639999,105.680000,105.517586,6894700
2021-04-30,105.279999,106.800003,104.639999,104.959999,104.798691,6237438
2021-05-03,105.919998,108.239998,105.360001,107.599998,107.434639,7934063
2021-05-04,106.720001,107.120003,104.559998,104.959999,104.798691,9692275
2021-05-05,105.279999,106.320000,104.720001,105.680000,105.517586,6958038
2021-05-06,105.760002,106.480003,104.239998,105.680000,105.517586,7847150
2021-05-07,105.279999,106.720001,104.559998,106.400002,106.236481,6735088
2021-05-10,106.480003,108.639999,106.400002,106.800003,106.635864,8195250
2021-05-11,105.519997,106.320000,103.519997,104.720001,104.559059,8501525
2021-05-12,104.639999,105.040001,102.160004,102.559998,102.402382,8856213
2021-05-13,102.400002,104.320000,101.760002,103.760002,103.600540,8197850
2021-05-14,104.959999,106.400002,104.239998,106.080002,105.916969,6334675
2021-05-17,105.839996,106.720001,104.959999,105.199997,105.038322,9542238
2021-05-18,105.440002,106.160004,103.760002,103.760002,103.600540,6115788
2021-05-19,103.199997,104.800003,102.320000,104.720001,104.559059,7427025
2021-05-20,104.720001,104.879997,103.360001,104.480003,104.319427,5809338
2021-05-21,104.879997,106.239998,104.400002,105.839996,105.677338,6665013
2021-05-24,106.320000,106.480003,104.959999,105.440002,105.277962,4876600
2021-05-25,105.599998,106.320000,104.800003,104.959999,104.798691,5916213
2021-05-26,104.959999,107.440002,104.320000,107.199997,107.035240,7533713
2021-05-27,108.800003,115.199997,108.720001,114.800003,114.623573,23073575
2021-05-28,114.320000,114.720001,112.239998,112.480003,112.307144,9071488
